A1;A4;A5;A9;A10;A12;A13;A16
b;u;g;t;t;f;g;+
a;u;g;t;t;f;g;+
a;u;g;t;f;f;g;+
b;u;g;t;t;t;g;+
b;u;g;t;f;f;s;+
b;u;g;t;f;t;g;+
b;u;g;t;f;t;g;+
a;u;g;t;f;f;g;+
b;y;p;t;f;f;g;+
b;y;p;t;f;t;g;+
b;u;g;f;f;t;g;+
b;u;g;t;f;f;g;+
a;u;g;t;f;t;g;+
b;u;g;f;f;f;g;+
a;u;g;t;t;t;g;+
b;y;p;t;t;t;g;+
b;u;g;t;t;t;g;+
a;u;g;t;t;f;g;+
b;u;g;t;f;t;g;+
a;u;g;t;t;f;g;+
b;u;g;t;t;f;g;+
b;u;g;t;f;f;s;+
a;u;g;t;t;t;g;+
a;u;g;t;t;f;g;+
a;u;g;t;t;t;g;+
a;u;g;t;t;f;g;+
a;u;g;t;t;t;g;+
b;u;g;t;t;t;g;+
b;u;g;t;t;f;g;+
b;u;g;t;t;t;g;+
b;u;g;t;t;t;g;+
b;u;g;t;t;f;g;+
b;u;g;t;t;t;g;+
a;u;g;t;f;t;g;+
a;u;g;t;t;t;g;+
b;u;g;t;t;t;g;+
b;u;g;t;t;t;g;+
a;u;g;t;t;t;g;+
b;y;p;t;t;f;g;+
b;u;g;t;t;t;g;+
b;u;g;t;t;t;g;+
b;u;g;t;t;f;g;+
b;u;g;t;t;f;g;+
b;u;g;t;t;t;g;+
b;y;p;t;t;f;g;+
b;u;g;t;t;t;g;+
a;y;p;t;t;t;g;+
b;u;g;t;t;f;g;+
b;u;g;f;f;f;g;+
b;u;g;f;f;f;g;+
b;u;g;t;f;t;s;-
b;u;g;t;f;t;g;-
a;u;g;t;f;t;g;-
b;u;g;t;f;f;s;-
b;y;p;f;f;f;g;-
b;u;g;t;t;f;g;-
b;u;g;t;f;t;g;-
a;y;p;t;f;t;g;-
b;y;p;t;t;f;g;-
b;u;g;t;f;f;g;-
b;u;g;t;t;f;g;-
a;u;g;t;f;f;s;-
b;u;g;t;f;f;s;-
a;u;g;t;f;t;g;-
b;u;g;t;f;t;g;-
b;u;g;t;f;t;s;-
b;u;g;t;f;t;s;-
b;y;p;t;f;f;g;-
b;u;g;t;f;t;g;-
a;u;g;t;f;t;g;-
b;y;p;t;f;f;g;-
b;u;g;t;f;f;g;-
b;y;p;t;f;f;g;-
b;y;p;t;f;t;g;-
b;y;p;t;f;t;g;-
a;u;g;t;f;t;g;-
b;y;p;t;f;f;g;-
b;u;g;t;f;t;s;-
a;y;p;t;f;t;g;-
a;u;g;t;t;t;g;-
b;y;p;t;f;t;g;-
b;y;p;t;f;f;g;-
b;u;g;t;t;f;g;-
b;u;g;t;t;t;g;-
b;y;p;t;t;t;g;-
b;u;g;t;t;f;g;-
b;u;g;t;f;f;s;-
a;y;p;t;f;f;g;-
b;y;p;t;f;t;g;-
a;u;g;t;t;t;g;-
b;u;g;t;t;t;g;-
a;y;p;t;t;f;g;-
b;u;g;t;f;t;g;-
a;u;g;t;t;t;g;-
b;y;p;t;t;t;g;-
a;u;g;t;t;f;g;-
b;u;g;t;t;t;g;-
